,loss,iteration,max_depth,learning_rate,reg_lambda,num_leaves,n_estimators
0,0.1212994084646261,0,580.0,0.10571367670697009,22.0,65.0,1050.0
1,0.11671456459233492,1,480.0,0.0650080708484792,13.0,65.0,1100.0
2,0.11816858922442522,2,420.0,0.034296649581072286,10.0,55.0,1200.0
3,0.11684622656291153,3,420.0,0.09569616010438946,11.0,65.0,1050.0
4,0.11892406085692542,4,400.0,0.10745223927987044,39.0,55.0,1050.0
5,0.1187285160597708,5,500.0,0.07381680652316201,33.0,75.0,1050.0
6,0.12033819238667953,6,480.0,0.03418075563283722,32.0,60.0,1050.0
7,0.11552047890021233,7,540.0,0.05427921933983342,37.0,50.0,1100.0
8,0.11921767924012659,8,580.0,0.030942809318807607,11.0,55.0,1150.0
9,0.11687681974345543,9,580.0,0.051816613980274706,3.0,65.0,1100.0
10,0.11910173149565045,10,520.0,0.12777672095469705,9.0,60.0,1050.0
11,0.11851976276569996,11,440.0,0.08597054932568628,5.0,65.0,1150.0
12,0.11609373746594577,12,580.0,0.043912140429655494,30.0,75.0,1000.0
13,0.1238097676870906,13,540.0,0.02749661701259742,3.0,50.0,1000.0
14,0.11722773752694433,14,460.0,0.07032750667767997,13.0,60.0,1150.0
15,0.12192278757039691,15,440.0,0.022424295967827235,6.0,75.0,1200.0
16,0.11525436757500407,16,540.0,0.04523236560667829,35.0,60.0,1050.0
17,0.11553741740915328,17,440.0,0.1300302517097299,16.0,75.0,1050.0
18,0.11811574460384863,18,520.0,0.06306224502001379,33.0,55.0,1050.0
19,0.11973613687500127,19,540.0,0.11098671528579354,26.0,60.0,1100.0
20,0.11596390602419734,20,540.0,0.043479458945817395,38.0,50.0,1100.0
21,0.11633515292818625,21,560.0,0.05439425034800306,37.0,70.0,1000.0
22,0.12530047633080815,22,560.0,0.018558476612071603,27.0,50.0,1150.0
23,0.1180101653797384,23,520.0,0.04076516785457552,20.0,70.0,1100.0
24,0.11627252158568015,24,600.0,0.057488962461968385,40.0,80.0,1000.0
25,0.12238651427691609,25,500.0,0.02482215908619953,36.0,50.0,1100.0
26,0.1148067234662663,26,560.0,0.0403320052712892,25.0,70.0,1150.0
27,0.11567042547040414,27,560.0,0.040179080413683954,24.0,70.0,1200.0
28,0.1223753306308921,28,600.0,0.01902001609828648,17.0,80.0,1150.0
29,0.11499269747863546,29,600.0,0.04672076727546889,29.0,70.0,1200.0
30,0.11862688708633137,30,600.0,0.03449743954052382,29.0,70.0,1200.0
31,0.1156881109347117,31,600.0,0.03738373463914451,22.0,70.0,1200.0
32,0.11746195303354036,32,560.0,0.02958622885344094,17.0,80.0,1200.0
33,0.11595740868763084,33,580.0,0.048501339401432426,25.0,75.0,1150.0
34,0.11745605944912217,34,480.0,0.07548565630021994,20.0,70.0,1200.0
35,0.12457978602402595,35,600.0,0.022497785711435164,28.0,65.0,1150.0
36,0.11780917821529714,36,560.0,0.08571000502741094,32.0,75.0,1200.0
37,0.12030151686082163,37,580.0,0.061931909740254566,22.0,70.0,1150.0
38,0.11782342564304474,38,520.0,0.03463693140654334,30.0,65.0,1150.0
39,0.11967827173597023,39,500.0,0.028924825016355446,23.0,80.0,1200.0
40,0.11451353484026314,40,600.0,0.04988235564398737,35.0,65.0,1200.0
41,0.12161712611440932,41,580.0,0.08410125056808875,13.0,65.0,1150.0
42,0.11618701256039617,42,480.0,0.05884462960362076,35.0,60.0,1150.0
43,0.11777234779229731,43,580.0,0.07048749698263168,33.0,65.0,1200.0
44,0.11887425654231677,44,460.0,0.031870237383761164,19.0,55.0,1150.0
45,0.12075145959340781,45,560.0,0.02653754205029665,31.0,55.0,1200.0
46,0.11952480242358732,46,400.0,0.09962567253571886,39.0,60.0,1100.0
47,0.11694166672977452,47,540.0,0.052235378050171526,35.0,65.0,1200.0
48,0.1153823378944093,48,520.0,0.04090028308978706,15.0,75.0,1150.0
49,0.11676062037920971,49,420.0,0.037330709711415576,8.0,65.0,1200.0
50,0.12395998528136047,50,580.0,0.021002616635663923,25.0,75.0,1150.0
51,0.11490770308873062,51,480.0,0.0766734201285062,27.0,60.0,1100.0
52,0.11557094326316138,52,540.0,0.049657299024657056,0.0,70.0,1150.0
53,0.11634472906580212,53,560.0,0.11200380452064018,32.0,60.0,1200.0
54,0.12310640657453144,54,460.0,0.024819183056881557,40.0,65.0,1100.0
55,0.11776040709170253,55,500.0,0.06820371091365114,37.0,75.0,1150.0
56,0.11812785543799931,56,520.0,0.037474423411193655,34.0,55.0,1200.0
57,0.11559181817936962,57,580.0,0.1190108677533738,10.0,70.0,1100.0
58,0.12042378610246182,58,600.0,0.032190509611268375,21.0,65.0,1050.0
59,0.11453149725562772,59,540.0,0.05572010653176525,13.0,60.0,1150.0
60,0.1175485648011778,60,540.0,0.09292945983599185,2.0,50.0,1200.0
61,0.11604235716138091,61,460.0,0.057382343411412136,6.0,55.0,1150.0
62,0.1149637886939125,62,500.0,0.054096957019643885,15.0,60.0,1100.0
63,0.11900746015694572,63,520.0,0.06410296753212431,12.0,60.0,1050.0
64,0.11544736858812003,64,480.0,0.07921758150590034,18.0,55.0,1200.0
65,0.11479465258156528,65,560.0,0.0433922069570398,8.0,60.0,1150.0
66,0.1144208144620911,66,540.0,0.04388285206921028,8.0,60.0,1150.0
67,0.1177566433164386,67,540.0,0.04516686947642107,0.0,60.0,1100.0
68,0.1181834497901644,68,520.0,0.060089794401389576,5.0,55.0,1150.0
69,0.11565165482493005,69,540.0,0.06717077977622624,14.0,50.0,1100.0
70,0.11466388937674375,70,540.0,0.049098730948747164,11.0,55.0,1200.0
71,0.11508127633530782,71,580.0,0.053764391069314715,8.0,60.0,1150.0
72,0.11608650248907694,72,520.0,0.046759634561068325,3.0,65.0,1150.0
73,0.11893478926498254,73,420.0,0.05601341909202831,10.0,60.0,1200.0
74,0.1175840476314589,74,500.0,0.03574667887675413,5.0,65.0,1150.0
75,0.11435425861219746,75,600.0,0.04215925600986382,1.0,60.0,1200.0
76,0.12022183969341779,76,600.0,0.033439976127189464,2.0,55.0,1200.0
77,0.1142248709089652,77,600.0,0.04221345814016422,1.0,65.0,1200.0
78,0.11872031683531582,78,580.0,0.030203346927913037,1.0,60.0,1200.0
79,0.11596597375081844,79,600.0,0.04177605144515262,4.0,65.0,1200.0
80,0.11970885470694757,80,600.0,0.027899287503653822,6.0,55.0,1200.0
81,0.11572281697818,81,560.0,0.03807547680941354,7.0,60.0,1200.0
82,0.12147759615072139,82,440.0,0.026285090203427116,1.0,65.0,1000.0
83,0.11737841471922512,83,580.0,0.038489535906550375,2.0,50.0,1200.0
84,0.12274513929400102,84,600.0,0.022370060478082304,9.0,70.0,1200.0
85,0.11335484639964086,85,560.0,0.05120435860428511,4.0,55.0,1200.0
86,0.1160713889812525,86,560.0,0.046177533769596726,4.0,50.0,1200.0
87,0.11673036072232659,87,580.0,0.0720184233773844,4.0,50.0,1200.0
88,0.11797645404950194,88,600.0,0.03553268654988009,1.0,55.0,1200.0
89,0.11512579052960067,89,560.0,0.05168319693103082,7.0,55.0,1050.0
90,0.12201810783763005,90,580.0,0.03176893948393847,11.0,50.0,1000.0
